mon_01,mon_02,mon_03,mon_04,mon_05,mon_06
cá lóc kho tộ,cà tím nướng mỡ hành,canh rau dền nấu thịt bò,chuối nướng,,
bún thịt nướng,cà phê sữa nóng,,,,
đuôi heo hầm kỷ tử và atiso,mực xào hành cần,khổ qua dồn thịt,táo ướp lạnh,,
thịt kho trứng,gỏi hoa chuối khô bò,canh khoai mỡ nấu thịt bằm,trà lài,,
hủ tiếu xào hải sản,sữa tươi,,,,
miến cua xào,nước ép cà rốt,,,,
nui xào bò,nước ép xoài,,,,
sườn chiên xả ớt,cải thìa xào tôm thịt,canh củ dền nấu tôm tươi,sinh tố chuối,,
thịt xông khói măng tây,bò xào tỏi tây,canh súp khoai tây cà rốt,sinh tố cà chua,,
bún bò,sinh tố cà chua,,,,
lẩu cua đồng bánh đa,chè đậu ngự,,,,
lươn xào sả ớt,canh rau cải xanh nấu ruốc,"rau càng cua trộn,trứng giấm đường",trái cây ướp lạnh,,
cá hấp trứng,cải bó xôi xào nấm đông cô,canh thìa là cá điêu hồng,chè đậu đỏ,,
bún gạo xào bò,bạc xỉu,,,,
cháo lá dứa hột vịt muối,sinh tố mãng cầu,,,,
thịt kho trứng,củ sen xào tôm,canh cải cúc nấu thịt bò,sinh tố dưa hấu,,
bánh mì trứng ốp la,sữa đậu nành,,,,
thịt ba rọi chiên nước mắm,bao tử trộn dưa kiệu,bí đỏ nấu sườn,nước ép táo,,
cá cơm kho tiêu,cải xào tỏi,canh khoai môn nấu giò lợn,dưa hấu,,
cháo trắng lá dứa,sinh tố dâu,,,,
bò xào cần,gỏi mít non tôm thịt,canh khoai mỡ,mít ướp lạnh,,
cá trê chiên giòn,giá xào hẹ,canh ngót nấu bò,bánh flan,,
lẩu nấm,chè hạt sen nhãn nhục,,,,
cá thu chiên xốt cà,bông cải xanh trộn dầu hào,canh khoai tím nấu tôm,sơ ri ướp lạnh,,
chả mực thì là,đậu bắp xào nấm rơm,canh tần ô thịt bò,dưa hấu,,
bún mọc,sữa tươi,,,,
bún mọc,sữa đậu phộng,,,,
"        lẩu cá kèo, bún",sinh tố mãng cầu        ,,,,
nui xào hải sản,sinh tố xoài,,,,
tép rim thịt heo,nấm bào ngư xào thịt heo,canh khổ qua dồn cá thác lác,lê ướp lạnh,,
sườn chua ngọt,rau lang xào tỏi,canh rau mồng tơi nấu tôm khô,mận ướp lạnh,,
cá nục hấp hành,cải cuộn thịt bò,canh củ dền tôm thịt,dưa lưới,,
mực dồn thịt chiên,hải sản xào rau củ,canh khoai sọ nấu sườn,nước cam,,
cá rô kho tộ,bông cải xanh xào cật lợn,"rau đay, mồng tơi nấu cua",chè hạnh nhân,,
thịt bò xào sa tế,đậu rồng xào,canh ngót nấu cá khoai,sinh tố đu đủ,,
bánh mì bò kho,sữa đậu nành,,,,
phở nghêu,chè hạt sen nhãn nhục,,,,
giò heo hầm măng khô,bò xào tỏi tây,rau dền nấu thịt bằm,nước ép ổi,,
tép rang thịt ba chỉ,bò trộn càng cua,canh giò sống nấu ngót,bánh chuối hấp,,
canh thịt bò rau răm,nộm đu đủ xanh chả quế,cá thiều nướng muối ớt,nước ép cà rốt,,
gỏi xoài tôm thịt,bò xốt ngũ vị,canh gà nha đam,nước ép táo,,
gà nấu lá giang,tôm xốt me,canh khoai mỡ,chè củ năng hạt lựu,,
cá chẻm chiên xù,nấm tuyết xào gà,canh cải cúc nấu mọc,rau câu đậu xanh,,
tôm xóc trứng muối,lầu cua đồng,nước cam,,,
bánh mì thịt quay,sữa chua dâu tây,,,,
bánh nậm,sữa đậu phộng,,,,
bò cuộn phô mai nướng,gỏi bạc hà,canh củ cải đỏ nấu sườn,sinh tố cà chua,,
bánh mì nướng phô mai,sữa bắp,,,,
xôi mặn,nước ép cà rốt,,,,
mực dồn thịt chiên,rau muống xào tỏi,canh khoai sọ nấu sườn,chè đậu ván,,
cua rang me,bông hành xào tôm thẻ,canh cá thác lác cải thìa,kiwi tươi,,
cháo đậu đỏ,nước cam vắt,,,,
cá nục hấp hành,bò xào cần tây,canh mít non lá lốt,nước dâu tằm,,
ốc nhồi thịt,canh tần ô thịt bò,gỏi hoa chuối bò khô,sinh tố sa-pô-chê,,
bún chả cá,chè mè đen,,,,
bí đao xào thịt,ức gà xào nấm,canh củ sen hầm,nho tươi,,
trứng cá thu hấp gừng,tép đồng cuốn bánh tráng,canh củ năng nấu sườn,sinh tố đu đủ,,
thịt ba rọi chiên,hoa bí xào tỏi,canh tôm khoai mỡ,bánh khoai mì,,
thịt xông khói xào măng tây,salad rau củ với trứng đà điểu luộc,canh rau dền thịt bằm,bánh flan,,
bánh mì cá ngừ,nước ép cà rốt,,,,
mực khìa trái dừa,canh cải xanh cá thác lác,đậu phụ chiên xù,lê ướp lạnh,,
bún chả cá,chè củ năng hạt lựu,,,,
cháo hến,nước ép bưởi,,,,
cá chạch kho gừng,bông bí nhồi thịt,thác lác nấu riêu,chè hạt sen nhãn,,
bò nấu tiêu xanh,bông thiên lý xào thịt bò,canh rau má tôm khô,dưa hấu ướp lạnh,,
cá lóc kho xốt tương gừng,gỏi ngó sen chay,canh đậu hũ cà chua,dưa hoàng kim,,
tôm hấp mía lau,bí ngòi xào tỏi,canh rau muống me,rau câu hạnh nhân,,
cơm tấm bì chay,sữa đậu nành,,,,
trứng chiên hẹ với thịt gà,gỏi sứa,canh hẹ,chè chuối,,
mì trứng xào hải sản,nước ép lê,,,,
sườn xào chua ngọt,gỏi tôm ngó sen,canh ngót nấu tôm,sươn sáo,,
mì xào bò,nước ép thơm,,,,
bắp bò kho nghệ,cải thìa xào nấm,"canh óc heo táo đỏ, củ sen",chè đậu xanh bột báng,,
cháo thịt thỏ,xoài ướp lạnh,,,,
ếch rim sả ớt,xà lách trộn dầu giấm,canh chua tôm ngó sen,sinh tố cà chua,,
bánh canh cua,sữa đậu nành,,,,
cà ri nướng,sinh tố dừa,,,,
cháo cá lóc,nước ép ổi,,,,
cá kho tương bần,cải thìa xào tỏi,canh đậu đỏ nấu sườn,chè nhãn nhục,,
đùi gà chiên muối sả,bông cải xanh xốt tóc tiên,canh chua cá kèo,dâu giằm sữa chua,,
cá thu xốt xoài,bông cải xào tôm,khổ qua xào trứng,dưa gang giằm,,
thịt ba chỉ kho tàu,rau muống luộc,canh cua khoai môn,khoai lang luộc,,
ốc nấu chuối xanh,salad táo,khổ qua nhồi thịt,sinh tố xoài,,
sườn ram,đậu cô-ve xào tôm,canh cải xooang thịt bằm,sinh tố bơ,,
súp cua,trà mật ong,,,,
cá điêu hồng kho thơm,canh chua cá thác lác,ngồng cải luộc,nước ép thơm,,
lươn cuộn lá ngải đắng nướng,bông hẹ xào bò,canh khổ qua dồn thịt,xoài ướp lạnh,,
bò rim,salad ớt chuông củ cải chua,canh củ dền hầm sườn,chè chuối,,
bánh pizza nấm,sữa tươi,,,,
cơm chiên hải sản,yoghurt đá,,,,
há cảo,nước sâm,,,,
gà hấp cải xanh,trứng đút hẹ,canh cải chua tôm,salad rau củ,,
bò nướng lá lốt,súp nấm tuyết,tôm hấp hành,trái cây thập cẩm,,
sò dương xào rau muống,hàu nướng phô mai,canh cải cúc nấu thịt bò,chè trôi nước,,
bánh mì trứng ốp la xúc xích,sữa tươi,,,,
cá trê chiên giòn,giá hẹ xào,canh ngót nấu thịt bò,nước ép lê,,
gà kho gừng,cải cúc nấu tôm,ếch xào tía tô,nước sâm,,
muối sả mắm ruốc kho,đậu bắp luộc,canh khổ qua tôm khô,tàu hũ đá,,
bún gạo xào,nước xí muội,,,,
bánh mì pa tê,sữa đậu nành,,,,
sườn xào chua ngọt,gỏi mít tôm thịt,canh chua cá đuối,lê ướp đá,,
cháo thịt gà bí xanh đậu đen,nước ép củ dền,,,,
đậu hũ dồn thịt,mì căn xào cải,khoai mỡ nấu tôm,chè hạt sen,,
cá bống kho tộ,đậu bắp xào nấm hương,cà tím dồn thịt,rau câu dừa,,
gà nướng muối ớt,su hào luộc,giò heo hầm rau củ,thanh long ướp lạnh,,
cá trê hấp gừng,bí đỏ xào nấm rơm,canh cua rau nhút,bánh flan dừa,,
chả cá thu nướng,bông bí xào tỏi,canh cua rau đai,nước ép thơm,,
bánh hỏi thịt quay,nước mơ,,,,
cháo thịt bò tần ô,cà phê sữa,,,,
cá lóc kho tương gừng,cải xanh luộc,canh cá hồi nấu thơm,chè đậu xanh đánh,,
canh cải xanh nấu hến,cà chua xào đậu phụ,thịt heo quay,chè hạt sen,,
canh bí đỏ thịt bằm,rau lang luộc,cá rô kho tộ,nước sâm lạnh,,
canh sướn nấu củ dền,cà chua dồn thịt,giá hẹ xào thịt bò,nước ép táo,,
canh đậu phụ nấu tôm,phi lê cá điêu hồng xào đậu rồng,trứng chiên,nho ướp lạnh,,
canh khoai tây thịt băm,bắp cải luộc,tôm rang trứng muối,chè táo xọn,,
phở hải sản,nước ép chanh dây,,,,
canh cua rau đai,đậu bắp luộc,bò nấu đậu,chè hạt sen long nhãn,,
canh cá rô nấu mẻ,mực xào hành cần,thịt heo luộc mắm thái,nước trái cây và trà lipton,,
bún bò huế,nước ép táo,,,,
cháo hoa cúc,nước  ép chanh dây,,,,
canh khoai mỡ nấu tôm,gỏi khô cá lóc dưa leo,cá bống kho tiêu,bánh flan,,
lẩu bắp bò nhúng hành răm,chè đậu ngự,,,,
canh chua cá thác lác,cần nước xào tỏi,bao tử heo nhồi thịt hấp,chè đậu xanh,,
cháo cá lóc,sữa đậu nành,,,,
canh gà lá giang,cải thìa xào dầu hào,cánh gà nướng hương quế,chè đậu đen,,
canh cải cá rô,salad trái cây,gà kho nước tương,trái cây tươi,,
"heo rừng nướng, ăn kem bún rau sống",bánh bột lọc,bánh mousse xoài,,,
canh cải xoong thịt bằm,gỏi gân heo măng chua,cá lóc kho bầu,dưa lưới,,
cơm chiên cua,sinh tố cà rốt,,,,
bánh mì pa tê,chuối nướng,,,,
canh rau má thịt bằm,rau muống luộc,cá bống kho tiêu,sinh tố dâu,,
canh khoai môn nấu giò,nộm hoa chuối,bao tử hầm tiêu,dưa hấu ướp lạnh,,
canh chua cá lăng,hoa mướp xào thịt gà,thịt heo nường mè,nước ép cà chua,,
bánh xếp quai vạc,nước sâm bí đao,,,,
canh khoai mỡ,rau muống xào gan heo,thịt heo kho dưa cải,chè bắp,,
canh chua cá thác lác,mướp xào lòng gà,đậu hũ dồn thịt,quýt đường,,
bún bò,sinh tố xoài,,,,
xôi gà quay,nước mơ,,,,
canh khổ qua dồn thịt,bông cải luộc,các chình chiên muối ớt,dưa hấu ướp lạnh,,
bánh canh thịt bằm,nước sâm,,,,
canh dưa hường nấu tôm,xà lách trộn dầu giấm,bò kho sả,bánh bò hấp,,
cà ri tôm rau củ,sinh tố sa-pô-chê,,,,
canh cải bắp thịt cuộn,củ sen xào tôm,gà hầm đậu,yaourt trái cây,,
canh gà nấu hến,gỏi măng tươi,sườn heo nướng,chè bưởi,,
bún mọc,nước ép ổi,,,,
canh giò heo nấu rau củ,giá xào tim heo,cá cơm chiên giòn,"chè hạt sen , táo tàu",,
canh hạt và củ sen nấu sườn,rau lang luộc,tôm nướng muối ớt,xoài ướp lạnh,,
cá lóc hấp bầu,mướp xào nấm hương,sườn heo nướng muối,chuối cao,,
hủ tiếu khô,nước xá xị,,,,
bánh cuốn nem nướng,sữa đậu phộng,,,,
bánh dày chả lụa,trà xanh,,,,
canh cải chua nấu sườn,nghêu xào hoa thiên lý,gà kho tàu,yaourt giằm dâu tươi,,
canh rau tập tàng,măng xào tôm,sườn ram thơm chua ngọt,bánh lá,,
đuôi heo hầm đậu phộng,kim chi dưa leo,đậu phụ chiên sả,nước dừa xiêm,,
bánh bèo tôm cháy,nước mía,,,,
canh chua cá lóc,rau muống xào chao,bao tử hầm tiêu xanh,chè trái cây,,
canh nghêu nấu hẹ,nấm xào trứng,gỏi nha đam tôm tươi,bánh chuối nướng,,
bánh hỏi thịt nướng,sữa đậu xanh,,,,
canh hạt và củ sen nấu sườn,dưa leo xào mực,heo nướng mè,trái cây giằm,,
bánh bao,nước ép chanh dây,,,,
canh sườn non đu đủ,bông bí xào thịt bò,cừu việt nam nướng khoai lang chiên,sơ ri ướp lạnh,,
canh bí đỏ thịt viên,dưa leo xào mực,gà tiềm,sinh tố mãng cầu,,
canh cải xoong tôm khô,cá rô kho tộ,gỏi bò trộn đu đủ,mận ướp lạnh,,
bánh ướt thịt nướng,nước ép bưởi,,,,
canh khổ qua dồn thịt,rau dền luộc,gà xào sả ớt,dưa tây ướp lạnh,,
bún thang,nước trà nóng,,,,
phở bò,nước ép cam,,,,
canh sườn nấu khoai môn,bò xào bông cải,cá chạch kho nghệ,nước ép lê,,
lẩu thái,bánh flan,,,,
súp đậu đỏ nấu đậu phụ,gỏi củ hũ dừa tôm thịt,cá bống mú xốt hạt sen,sinh tố mít,,
canh cà chua trứng,bò xào ớt chuông,cá tìm nhồi thịt,bánh bò hấp,,
canh giò heo nấu bông atiso,măng xào tôm,cá chép kho gừng,yaourt trái cây,,
"lẩu mắm, bún tươi",bánh bèo chén,chè đậu ngự,,,
canh bí đao nấu thịt viên,bò xào hành cần,cá lóc kho tiêu,sinh tố dưa gang,,
phở bò,trà gừng,,,,
canh cải mầm nấu giò sống,bắp non trộn gân bò,gà sao nấu sả,sâm bổ lượng,,
canh rau mồng tơi nấu tôm,bắp cải luộc,tôm rang me,chè mè đen,,
canh khoai từ nấu tôm,bông bí xào tỏi,cá kèo kho rau răm,trái cây giằm,,
canh mướp nấu tôm,gỏi hoa chuối,bò kho sả,chè thưng,,
canh sườn non đu đủ,bông bí xào thịt bò,óc heo chưng,sơ ri ướp lạnh,,
sườn chìa nướng cơm nắm,nước cam vắt,,,,
cá nục hấp hành,sò huyết rang me,canh cải xanh cuộn thịt,sinh tố mít,,
cá basa kho xoài,thanh cua xào chua ngọt,canh tôm nấu đậu phụ,rau câu dừa,,
cá lóc kho tiêu,gỏi sứa,canh khoai mỡ nấu tôm,chè hạt sen táo tàu,,
giò heo rút xương chiên,bò xào hành cần,canh chua cá lóc,sinh tố mãng cầu,,
cháo hến,nước ép cà chua,,,,
canh cua nấu trứng,mực xào rối,cánh gà chiên nước mắm,nước ép thơm,,
canh bí đao nấu thịt viên,bò xào hành cần,cá lóc kho tiêu,sinh tố dưa gang,,
thịt heo nướng tiêu,salad nga,canh điêu hồng nấu ngót,lê ướp lạnh,,
bánh canh cua,sữa tươi,,,,
bánh cuốn nem nướng,nước cam ép,,,,
thịt heo quay,mì ý xào bò,bông cải luộc,nước ép táo,,
canh giò heo hầm thuốc bắc,rau củ xào tam sắc,cá chình nấu ớt xiêm,nước dừa tươi,,
bún bò huế,trà nóng,,,,
canh cải xanh nấu hến,sò dương trộn bắp cải tím,tôm kho tiêu,kem sầu riêng,,
canh giá hẹ đậu phụ non,thiên lý xào bò,trứng chiên nấm,nho ướp lạnh,,
cơm chiên dương châu,sinh tố cà chua,,,,
cháo hến,sữa đậu nành,,,,
canh cải xoong nấu thịt băm,óc heo chiên giòn,thịt heo kho tiêu,sữa chua,,
lẩu cua đồng,bánh xèo nấm,bánh flan,,,
bún gạo xào,sữa tươi,,,,
gà chiên bơ,lẩu cá kèo,"kem trái cây, nho khô",,,
vịt nướng xốt me,cật heo chấy tỏi,canh rau má nấu thịt,bánh flan,,
canh cà tím chiên,gỏi măng,vịt om sấu,chè hạt sen táo tàu,,
cháo sườn nấm bào ngư,trà lipton nóng,,,,
bún bò,sinh tố mít,,,,
hủ tiếu nam vang,nước ép táo,,,,
súp lạnh,rau muống xào chao,thịt heo kho đậu phụ,sinh tố mãng cầu,,
canh khổ qua cá rô đồng,gỏi cổ hủ dừa,sườn nướng nước cốt dừa,cam tươi,,
canh mồng tơi nấu nấm,đậu bắp luộc,gà hấp hành,lê ướp lạnh,,
canh mắm,cà tím xào thịt bằm,cá nục kho me,chè thưng khoai môn,,
xôi thịt quay,sinh tố mãng cầu,,,,
canh chua dưa cải,măng xào thịt,cá lóc hấp bầu,trà bí đao,,
thịt kho trứng,cải chua xào tôm,canh khoai môn nấu thịt,sinh tố bơ,,
củ hũ dừa xào tôm,cà xào thịt bằm,canh khoai lang thịt bằm,nước bí đao,,
canh bí đao nấu tôm nõn,gỏi mít non,đậu phụ xốt thịt băm,chè trái vải sương sa,,
canh sườn nấu khoai môn,tôm bọc củ sen chiên,chạo cá nướng sả,nước ép chanh dây,,
hủ tiếu khô,nước sâm bí đao,,,,
bánh bèo tôm cháy,nước mía,,,,
bánh canh cua,chè thập cẩm,,,,
bún măng vịt,sữa đậu xanh,,,,
bánh mì ốp la,trà xanh,,,,
canh rong biển,cà tím lăng bột chiên,thịt kho măng,đu đủ ướp lạnh,,
bánh canh chả cá,nước sâm,,,,
sandwich tươi nhân thịt gà,sữa tươi,,,,
canh củ dền nấu thịt,giá xào huyết,thịt bò kho,nước ép nho,,
canh bí đỏ thịt bằm,khổ qua dồn hải sản,cá chẻm hấp gừng,xoài ướp lạnh,,
rau ngót nấu giò sống,gỏi cổ hủ dừa,thịt luộc mắm tôm,nước mía lau,,
bún tôm rau cần,trà gừng,,,,
canh cải cá rô,salad trái cây,gà kho nước tương,trái cây tươi,,
lòng gà rim nước dừa,rau muống xào,canh khổ qua tôm nõn,chè bánh lọt đậu xanh,,
bánh ướt chả lụa,trà gừng,,,,
canh tôm chua cay,mực nhồi xôi chiên,cá thu hấp tương gừng,chè đậu đỏ,,
sườn rim tôm,phèo non cải chua,canh đậu hũ hải sản,trái cây thập cẩm,,
canh rau dền tôm khô,bông bí xào tỏi,cá hú kho tộ,nước rau má đậu xanh,,
canh cải bắp cuộn thịt,bò xào khoai tây,gà hầm đậu,đu đủ ướp lạnh,,
tim bò nướng cay,kèo nèo xào tôm thịt,canh gà lá giang,dâu tươi giằm,,
lẩu mắm,dừa tươi,,,,
canh khổ qua dồn thịt,gỏi sen tôm thịt,gà quay,yaourt trái cây,,
hủ tiếu sườn,nước sâm bí đao,,,,
canh đuôi heo hầm atiso,cá thu kho thịt ba chỉ,bò xào bông hành,chè sương sa hạt lựu,,
bánh cuốn nóng,sữa đậu nành,,,,
canh rau ngót nấu tôm,cải chua xào trứng,cá chạch kho nghệ,nước rong biển bông cúc,,
cá thác lác viên chiên xù,salad cà dây,rau đay nấu cua,nước ép cà chua,,
canh củ năng thịt gà,mướp xào lòng gà,chạo chay,rau câu trái cây,,
canh cua rau nhút,gỏi bưởi,sườn nướng ruốc huế,sinh tố cà chua,,
canh chua nghêu,gỏi sứa,cá ngừ kho thơm,chè mè đe,,
xôi bắp,nước ép cà rốt,,,,
mực dồn thịt chiên,hải sản xào rau củ,canh khoai sọ nấu sườn,nước cam,,
tôm kho củ sen,salad cua thanh long,canh bao tử hầm tiêu xanh,táo ướp lạnh,,
sandwich nướng phi lê cá hồi,sinh tố saboche,,,,
bún thịt nướng,cà phê sữa,,,,
thịt bò xào cần,rau dền luộc,canh ngót cá khoai,chè đậu ngự,,
chả giò chiên,lẩu hải sản,sinh tố cà rốt,,,
ếch rim sả ớt,xà lách trộn dầu giấm,canh sườn heo đậu đỏ,chè tàu hũ ky,,
mực dồn thịt chiên,bắp cải trắng luộc,canh bí đỏ nấu sườn,nước ép dưa hấu,,
thịt cua xào chua ngọt,bông bí xào ba rọi,canh ngót nấu thịt bò,sinh tố mít,,
cá lóc om hoa điên điển,rau muống xào tỏi,canh chua tôm ngó sen,mãng cầu giằm,,
hủ tiếu giò heo,nước ép lê,,,,
tôm kho rim,mực xào hành cần,canh tôm khoai môn,xoài ướp lạnh,,
thịt kho tiêu,dưa leo trộn sò điệp,canh thịt bằm mồng tơi,sâm bổ lượng,,
đậu hũ trắng kho sườn,bông bí xào tỏi,canh khổ qua cá thác lác,xoài chín ướp lạnh,,
ếch chiên giòn,chả giò tôm bắp,canh ngót cá điêu hồng,rau câu trái cây,,
ba rọi chiên nước mắm,bông cải xao cật heo,canh đậu hầm sườn heo,nước ép lê,,
súp cua,bơ giằm sữa,,,,
hủ tiếu nam vang,trà chanh,,,,
"cháo thịt bò, cà rốt",sinh tố chuối dừa,,,,
ếch hầm nồi đất,hoa kim châm xào thịt bò,canh tôm khoai mỡ,dưa hấu,,
cá điêu hồng kho tương,mướp xào lòng gà,canh chua hoa so đũa nấu tôm,nước ép lê,,
cháo gà,sinh tố bơ,,,,
mực chiên giòn vị trà xanh,nấm bạch tuyết xào thăn heo,khổ qua nhồi thịt,sinh tố cà chua,,
lươn nướng trộn hành tây,đậu phụ chiên sả ớt,canh bò nấu cải cúc,nước ép dưa hấu,,
sườn nướng xốt xí muội,rau muống chẻ trộn tôm,củ năng nấu sườn,đào ướp lạnh,,
sườn heo chiên xốt cà chua,gỏi cuốn bỗng,canh cà rốt hầm sườn,nước ép sơ ri,,
"cá trê chiên giòn, nước mắm gừng",nấm bào ngư xào thịt heo,canh tôm nấu mướp,sinh tố mít,,
lẩu vịt,dâu giằm,,,,
súp trái cây nấu gà,cà phê sữa đá,,,,
bánh cuốn nóng,sữa đậu phộng,,,,
cá lóc kho dừa,khoai tây dồn thịt đút lò phô mai,canh cá khoai cải bẹ xanh,chè bí đỏ sữa tươi,,
thịt xông khói măng tây,bò xào tỏi tây,canh súp khoai tây cà rốt,sinh tố cà chua,,
cá hồi chiên xốt gấc,gỏi gà rau đắng,canh củ cải đỏ nấu sườn,mận ướp lạnh,,
tôm rim ba rọi,cải thìa xào tỏi,canh tôm bí ngòi,sinh tố cà chua,,
cà chua dồn thịt đút lò,hoa mướp xào ức gà,canh bò cải xanh,sữa chua,,
cá thu chiên xốt cà,đọt bí xào thịt ba chỉ,canh khoai tím nấu tôm,sơ ri ướp lạnh,,
tôm nấu tỏi,hến xào xúc bánh tráng,canh cải xoong nấu bò,sinh tố sa bô chê,,
thịt ba rọi chiên,salad gà,canh củ dền hầm sườn,nước ép bưởi,,
cá chẻm xốt cam,gỏi măng tươi,canh bí đỏ nấu gà,nho đen ướp lạnh,,
râu bạch tuộc sốt đậu tương,rau muống xào tỏi,canh chua hải sản,sữa chua,,
cá trê chiên giòn,rau muống xào tỏi,canh ngót nấu bò,bánh flan,,
lẩu nấm,chè hạt sen nhãn nhục,,,,
"bún khô xào bắp cải tím, thịt bò",sữa đậu nành,,,,
cá chim chiên tỏi,cà tím nướng mỡ hành,canh nấm nấu mướp,mận hà nội ngâm nước đường,,
mì quảng,cà phê sữa,,,,
tép rim ba rọi,cải bó xôi xào tỏi,canh sườn nấu đậu ngự,dưa hấu,,
miến cua xào,nước ép lê,,,,
ếch chiên giòn,canh khoai sọ nấu sườn,cải xanh luộc,sinh tố đu đủ,,
bún giò heo nấu dọc mùng,nước ép táo,,,,
bánh hỏi cuốn thịt quay,nho ép,,,,
lươn cuốn lá cách chiên,đu đủ trộn tôm,canh chua cá ba sa,chè bà ba,,
mì lạnh trộn bò,sữa chua,,,,
mì quảng,nước ép táo,,,,
thịt bò xào bông cải,rau cải xanh luộc,"canh tàu hủ, hẹ nấu thịt bằm",sinh tố mãng cầu,,
bún cá quỳnh côi,chè đậu xanh,,,,
cá trê kho tương,rau bí xào tỏi,canh ngót cá điêu hồng,chè sương sáo,,
bún thịt nướng,trà gừng,,,,
bún mọc,sữa đậu phộng,,,,
cá chẻm chiên xù xốt caramel,bắp cải tím trộn nghêu hấp,rau dền nấu tôm,nước ép ổi xá lị,,
nghêu nướng mỡ chài,rau cải xoong trộn bò,canh tôm bông cải,nước nho ép,,
cơm tấm sườn nướng,sinh tố dâu,,,,
bánh mì cá hộp,sinh tố cà chua,,,,
thịt gà xào sa tế,bí ngòi hấp xốt dâu,canh bò cải xoong,,,
cháo nghêu,sữa cao cao nóng,,,,
bánh mì ốp la,sữa đậu nàn,,,,
cá thu chiên xốt me,canh rau má nấu bò,măng xào tôm,sinh tố dâu,,
cá điêu hồng hấp tàu xì,gỏi cải đắng trộn tôm thịt,canh rua dền tím nấu tôm,nước rau má,,
cháo gà,sinh tố bơ,,,,
gà xốt chanh dây,salad mầm rau muống,canh măng chua nấu cá nục,trà chanh,,
spaghetti xúc xích,nước ép cà rốt,,,,
cánh vịt nấu tương,canh ngao rau răm,đậu phụ chiên,dưa hấu ướp lạnh,,
mực chiên giòn vị trà xanh,rau càng cua trộn thịt bò trứng bách thảo,canh khổ qua dồn thịt,sinh tố cà chua,,
súp rong biển hải sản,cà tím nướng mỡ hành,canh nấm nấu mướp,mận hà nội ngâm nước đường,,
gỏi nha đam tôm,canh giò heo đu đủ,bông bí xào tỏi,chè thốt nốt nước dừa,,
bò nhúng giấm,dưa hấu,,,,
ba rọi chiên giòn,canh cải xanh nấu gừng,bông hẹ xào bò,táo xanh ép,,
hủ tiếu giò heo,nước ép lê,,,,
bún giò heo nấu dọc mùng,nước ép táo,,,,
lươn nướng trộn hành tây,đậu phụ chiên sả ớt,canh bò nấu cải cúc,nước ép dưa hấu,,
canh bầu nấu ngao,lươn kho măng,rau cải xào vừng,tàu hủ đá đường,,
ếch xào tía tô,súp rong biển hải sản,đậu bắp luộc chấm chao,sinh tố dâu,,
bún chả cá,sữa đậu xanh,,,,
sườn heo xiên sốt cà chua,ớt chuông xào bò,canh cà rốt hầm sườn,nước sơ ri ép,,
sườn nướng xốt xí muội,rau muống chẻ trộn tôm,củ năng nấu sườn,đào ướp lạnh,,
thịt kho tiêu,dưa leo trộn sò điệp,canh thịt bằm mồng tơi,sâm bổ lượng,,
chả giò chiên,lẩu hải sản,sinh tố cà rốt,,,
thịt xào rau củ,cá hồi chưng tương,canh cải chua nấu bắp bò,chè nhãn nhục,,
củ sen nhồi thịt ráng,canh bầu nấu tôm khô,thịt kho nấm rơm,sinh tố dừa,,
thịt nhồi nấu đông cô rim dầu hào,canh bí xanh nấu tôm đồng,rau muống luộc,chè bắp,,
