mon_01,mon_02,mon_03,mon_04,mon_05,mon_06
bún cá thu,nước ép dứa,,,,
cá bống ram nghệ,canh nấm thịt xay,đọt bí xào thịt bò,chè bà ba,,
tôm kho rim,ếch xào mướp hương,canh tôm khoai môn,xoài ướp lạnh,,
thịt đà điểu xào đậu hà lan,canh nấm rơm đậu phụ non,thịt ba chỉ kho keo,mãng cầu giằm,,
đùi heo xông khói cuộn bơ,gỏi ngó sen,canh gà nha đa đam,thạch kiwi,,
chả đùm thịt gà,canh kim chi nấu tép,cà tím xào tép,bánh chuối,,
mì lạnh trộn bò,sữa chua,,,,
súp trái cây nấu gà,cà phê sữa đá,,,,
canh cá kèo nấu nấm,rau cải xanh luộc chấm nước mắm,đậu phụ kho lòng heo,mía ướp lạnh ,,
canh bò nấu khế,lưỡi heo nấu pate,gỏi hoa chuối,bánh bí đỏ hấp,,
canh trứng bí ngòi,sườn lợn xào ngũ sắc,thịt kho tiêu,pudding xoài,,
bánh bao,rau má nước dừa,,,,
miến gà tôm thịt,sữa bắp,,,,
salad thịt bò cà tím,chả cá chiên,canh cải con tôm viên,nước ép cam,,
gỏi bê tái chanh,canh khổ qua cá thác lác,thịt kho nước dừa,sinh tố cà rốt,,
tôm rim thịt,cải bó xôi xào bò,canh cải bẹ xanh nấu ruốc,táo ướp lạnh,,
nghêu nướng mỡ chài,rau cải xoong trộn bò,canh tôm bông cải,nước nho ép,,
bánh mì cá hộp,sinh tố cà chua,,,,
cơm tấm sườn nướng,sinh tố dâu,,,,
cá trê kho tiêu,canh ngó sen thịt heo,bí luộc chấm kho quẹt,bánh flan,,
thịt gà xào sa tế,bí ngòi hấp xốt dâu,canh bò cải xoong,,,
canh hoa chuối nấu tôm mẻ,cá rô đồng kho tộ,thạch trà đường,,,
canh cải xanh nấu cá rô,cá cơm kho tiêu,rau luộc,rau câu hạnh nhân,,
lẩu nấm thịt bò,salad càng cua,đậu phụ kho lòng heo,bánh dứa caramel,,
bún thịt nướng,cà phê sữa,,,,
gà xào xúp lơ,cá trứng nướng,canh hẹ tàu hủ non,chè hạt sen long nhãn,,
cua om giấm,canh mực chua ngọt,đậu cove xào tỏi,chè táo xọn,,
bánh mì cuộn kem trái cây,nước táo ép,,,,
cá lóc om hoa điên điển,mực xào dưa cải,canh chua tôm ngó sen,mãng cầu giằm,,
sò huyết hấp rượu,tôm cuốn khoai tây vàng giòn,salad ngô non,xoài xay sữa chua,,
canh cà nấu hến,thịt luộc cuốn bánh tráng mè,salad xoài thịt gà,chè đậu đỏ bánh lọt,,
lẩu vịt,dâu giằm đá,,,,
cá trê kho tương,rau bí xào tỏi,canh ngót cá điêu hồng,chè sương sáo,,
mì gói xào sò điệp,sinh tố chuối,,,,
mì xào hải sàn,sữa đậu nành,,,,
hủ tiếu,sinh tố dưa hấu,,,,
cháo cá lóc rau đắng,sinh tố chuối dừa,,,,
mực dồn thịt chiên,gỏi rau nhút,canh bí đỏ nấu sườn,nước ép dưa hấu,,
cánh gà ram me,salad cà sốt trứng chiên chua cay,canh rau muống nấu me chua,bánh flan,,
cháo lòng,nước sâm,,,,
bún thang,nước ép cam,,,,
canh rau ngót nấu cá rô đồng,khổ qua xào trứng,cà tím nhồi thịt rim nước tương,thạch đậụ xanh,,
gà kho chay,xà lách trộn dầu giấm,canh sườn heo đậu đỏ,chè tàu hũ ky,,
cà chua dồn thịt đút lò,hoa mướp xào ức gà,canh bò cải xanh,sữa chua,,
bún thịt nướng,nước ép bưởi,,,,
tôm trộn ba khía,canh cua thiên lý,bò kho ớt,chè trái vải rau câu,,
bún gạo nấu bò viên,sữa tươi,,,,
sandwich kẹp xúc xích,nước ổi ép,,,,
bún gạo xào,sữa đậu nành nóng,,,,
nem bắc,khổ qua xào trứng,canh củ dền hầm sườn,nước ép cóc chín,,
thịt heo kho tàu,giá hẹ ngâm chua,canh cua rau đay,sâm bổ lượng,,
bún chả cá,trái cây ướp lạnh,,,,
thịt ba rọi kho trứng,hoa thiên lý xào bò,canh tôm khoai mỡ,dưa hấu ướp lạnh,,
cá lóc nướng muối ớt,cải xanh luộc cuộn nấm sốt thăn heo xào gừng,canh bí đỏ nấu gà,dưa gang giằm,,
mì quảng,nước trà lipton,,,,
bánh mì cá hộp,cà phê đá,,,,
cà rigà,sữa đậu phộng,,,,
chả lục kep sandwich,sinh tố bơ,,,,
cá lóc kho tiêu,gỏi gà rau đắng,canh rau má thịt bò,mãng cầu ta ướp lạnh,,
súp cua,cà phê sữa,,,,
lươn nướng trộn hành tây,đậu phụ chiên muối sả,canh bò nấu cải cúc,nước ép dưa hấu,,
sườn kho chua ngọt,măng xào tôm,canh riêu cá niền bắc,chè bánh lọt,,
chim cút chiên bơ,canh bí đao nấu thịt viên,bò xào hành cần,"cá hồi áp chảo, salad cà chua khô, và bánh crepe",,
thịt heo luộc mắm thái,mực xào bông hẹ,canh cá rô nấu mẻ,bánh pudding xoài,,
cá kèo chiên xù,gan bò xào tứ xuyên,canh khoai tím nấu tôm,nước ép cốc ổi,,
trái cây giằm,nước mía,,,,
thịt bò xào cần,rau dền luộc,canh dưa leo rong biển sườn non,chè đậu ngự,,
bánh xèo thịt vịt,sữa ca cao,,,,
cá sapa chiên dầu mè,cà tím nướng mỡ hành,canh nấm rơm nấu mướp,chuối cau,,
cá trê chiên mắm gừng,ngọn bí xào tỏi,canh riêu cá điêu hồng,chè sương sáo,,
cánh gà chiên nướng,gỏi khô cá sặt dưa leo,canh khoai lang cải con,chè đậu ngự,,
pizza hải sản,cà phê sữa,,,,
bắp bò hấp hành,rau cải xanh xào,canh nấm tràm thịt băm,dâu giằm đá,,
bánh hỏi heo quay,sữa đậu xanh,,,,
lẩu thái,sinh tố cà chua,,,,
phở gà,nước ép cà rốt,,,,
thịt ba rọi kho trứng,dưa giá,canh khoai mỡ nấu tôm,dưa hấu,,
cháo gà,nước trà atiso,,,,
dưa gang giằm,cải xoong xào ba rọi,canh cải chua nấu chả cả,chè sấu,,
đà điểu xào thiên lý,cải ngồng xào nấm,canh nghêu đậu phụ,bánh chuối nướng,,
chào gà,gỏi gà bắp cải,nho ướp lạnh,,,
gà hầm cam mỹ bánh mì,chè đậu xanh phổ tai,,,,
bồ câu hầm hạt sen,gỏi măng cụt,canh rau ngót nấu bò,nước ép sơ ri,,
gà kho gừng,gỏi sầu đâu,canh gà lá giang,mận ướp lạnh,,
tôm rim ba rọi,cải thìa xào tỏi,canh tôm bí xanh,sinh tố cà chua,,
hủ tiếu nam vang,sinh tố chuối,,,,
ếch chiên giòn,canh rau ngót nấu thịt bò,cải xanh luộc,sinh tố đu đủ,,
mực dồn thịt xốt cam,rau củ luộc chấm tương hạt kho sả,canh tôm bông cải,nước ép nho,,
mực dồn thịt chiên,bắp cải trắng luộc,canh bí đỏ nấu sườn,nước ép nho,,
bún mọc,nước ép lê,,,,
miến vịt,nước sâm,,,,
hủ tiếu xào,nước xá xị,,,,
gà kho tiêu xanh,đậu hũ rim hành lá rau muống luộc,canh sườn nấu củ sen,trái cây giằm,,
mì lạnh trộn bò,sữa chua,,,,
gà kho sả nghệ,rau càng cua trộn thịt bò,canh khổ qua nấu tôm khô,sinh tố cà rốt,,
bánh cuốn,nước bưởi,,,,
bồ câu nướng muối ớt,mướp xào nấm rơm,canh cua rau đay,chuối cau tươi,,
sườn đà điểu nướng mật ong,bò trộn rau càng cua,canh đậu phụ nấu hẹ,nước dừa xiêm,,
thịt cua xao chua ngọt,bông bí xào ba rọi,canh giò heo nấu rau củ,sinh tố mít,,
cháo gà ác hạt sen,nước ép táo,,,,
bánh đa cua,sữa ca cao,,,,
cá điêu hồng kho tương,mướp xào lòng gà,canh khổ qua cá thác lácnước ép táo,,,
vịt khìa,đậu phụ chiên sả,canh tôm bông cải,lê ướp lạnh,,
cá bống kho tiêu,rau muống xào chao,canh khoai mỡ nấu tôm,bánh xu trà xanh,,
cá nục hấp hành,nộm chuối chay,canh rau đắng nấu tôm,sữa chua,,
tôm trộm ba khía,rau muống chẻ trộn tôm,canh bí xanh nấu sườn,chôm chôm ướp lạnh,,
sườn non chua ngọt,gỏi gà rau má,canh tôm khoai môn,dưa hấu ướp lạnh,,
bánh mì cá,sữa tươi,,,,
cá lóc kho nghệ,đọt lanh luộc,canh cua rau đay,chè đậu đỏ,,
bún sứa,nước ép lê,,,,
bao tử hầm tiêu,nộm hoa chuối,canh khoai môn nấu giò heo,lê ướp lạnh,,
cá cơm kho đậu tương,giá xào tim heo,canh giò heo nấu củ,sinh tố mãng cầu,,
đà điểu bít tết bánh mì,trà xanh,,,,
canh đậu ngự hầm xường non,thịt kho củ cải,"đậu luộc, mắm đồng chưnggừng",chè hạt sen,,
gỏi cóc trộn khô mực,bánh xèo ăn kèm rau sống,cơm rượu bắc,,,
hải sâm trộn cải thìa,lẩu tươi,kem dừa,,,
sườn kho chua ngọt,đậu hủ chiên sả,rau đay nấu cua,sinh tố dưa hấu,,
gà xào sa tế,cải thìa xào tỏi,canh khổ qua cá thác lác,nho xanh,,
cá trê chiên giòn mắm gừng,nấm bào ngư xào thịt heo,canh khoai tím nấu mướp,mít ướp lạnh,,
cá điêu hồng chiên xù,đậu que luộc,canh chua gà lá giang,nước ép nho,,
canh astiso nấu hải sản,cá sốt chanh dây,tôm xào hạnh nhân,chè đậu xanh,,
heo giả cầy,bông cải luộc,canh rau đay nấu cua,rau câu trái cây,,
canh chua tôm bông sođũa miền nam,mực trứng kho tộ,hải sản xào rau củ,nước ép thơm,,
cháo trứng thịt nạc,sữa đậu nành,,,,
bún bung,sinh tố bơ,,,,
cá cơm kho tiêu,cải xào tỏi,khoai môn nấu giò,si rô bạc hà nha đam,,
lẩu bò,sinh tố sa-bô-chê,chè mủ trôm,,,
bún riêu,trà gừng,,,,
salad trái cây,mì xào dòn,bánh flan,,,
bún gạo xào hải sản,nước ép táo,,,,
gà hầm sả,rau muống luộc,canh khoai môn hầm giò,nho xanh,,
hamburger bò,nước ép bưởi,,,,
thịt kho trứng cút,dưa giá,canh cải mầm nấu tôm viên,sinh tố sa bô chê,,
thịt heo kho tiêu,hoa mướp xào thịt gà,canh chua cá lăng,nước ép cà chua,,
thịt bò xào cần,gân đà điểu tiềm rau củ,canh ngót cá khoai,sinh tố đu đủ,,
bồ câu rim sả ớt,cải chua xào chả cá,canh bắp cải cuộn thịt,sữa đậu nành,,
miến xào cua,nước mơ ngâm,,,,
cá trắm hấp cải xanh,nấm bào ngư xào mè,canh chuối già nấu mẻ,dưa hấu ướp lạnh,,
ba rọi chiên nước mắm,xà lách trộn dầu giấm,bí đỏ nấu sườn heo,chuối cau,,
cá lóc kho tộ,cà tím nướng mỡ hành,đậu phụ hẹ nấu thịt bằm,nước ép táo,,
bò xào chua ngọt,đọt bí xào tỏi,canh cải xanh nấu gừng,nước ép táo xanh,,
nấm nướng giấy bạc,bắp cải luộc,canh khoai nấu sườn,chè táo xọn,,
miến gà,sữa đậu nành,,,,
canh chua cá lóc,cá thu  kho gừng,mực xào thơm,lipton sữa thạch,,
bún gạo xào hải sản,cà phê sữa,,,,
phá lấu bánh mì,mãng cầu giằm sữa,,,,
cơm chiên hải sản,cà chua ép,,,,
canh tôm nõn cải dún,cánh gà chiên xốt tương java,xà lách cà chua,bánh khoai mì,,
vịt kho gừng,tim heo xào chua ngọt,canh gà lá giang,mận ướp lạnh,,
đùi gà chiên tỏi ớt,dưa món,canh cá điêu hồng chua ngọt,sấu ngăm đường giằm đá,,
cháo lòng,sữa ca cao nóng,,,,
tôm xào sa tế,bò xào hành cần,canh chua hải sản,sữa chua,,
thịt heo quay,cà chua xào đậu phụ,canh cải xanh nấu bò,chè hạt sen,,
tôm ghim tỏi và laghim,nấm bào ngư xào thịt heo,canh khổ hoa dồn thịt lợn,chè mủ trôm,,
cá trê kho tương,rau bí xào tỏi,canh gà nấu lá giang,mứt thơm,,
cá cơm kho thịt miền nam,gỏi gà bắp cải,canh mồng tơi nấu cua,chè đậu xanh,,
cơm tấm,nước rau má đậu xanh,,,,
canh cá lóc nấu bầu,lươnnướng lá dứa,rau muống xào,chè khoai cao,,
vịt kho chao,rau cải xanh luộc,canh riêu nấu ngao,na ướp lạnh,,
súp hoành thánh hải sản,nước mía,,,,
ba rọi chiên nước mắm,rau muống xào tỏi,canh súp,nước ép lê,,
canh cá thu nấu ngót,cá kho dưa hường,tôm nõn xào rau củ,nước ép chanh dây,,
gỏimắm,cải bó xôi xào tỏi,canh bông cải nấu thịt bằm,nước ép cà chua,,
hủ tiếu nang vang,trà lipton,,,,
cháo cá kim châm,nước bí đao,,,,
cá rô kho tộ,rau lang luộc,canh bí đỏ thịt bằm,nước sâm lạnh,,
canh giò heo nấu măng,thịt nạc kho tiêu,đọt bí xào tỏi,trái cây ướp lạnh,,
khoai tây nhồi thịt heo chiên,hoa thiên lý trộn bò,bí đao xào tôm thịt,sữa chua,,
bún thang,nước mía,,,,
spaghetti trộn trứng cá cay,sinh tố xoài,,,,
ếch rim sả ớt,xà lách trộn dầu giấm,canh chua cua nấu măng,sinh tố cà chua,,
tép rang,bắp cải luộc,rau dền nấu thịt bò,nước ép cà rốt,,
cá thu chiên xốt cà,nấm mỡ xốt thịt ham,canh khoai tím nấu tôm,sơ ri ướp lạnh,,
cháo bồ câu,trà lipton nóng,,,,
canh mướp nấu nấm rơm,bò rim ngũ vị,dưa khổ qua đèo,chè bắp,,
cá chép kho riềng,cải ngọt luộc,bí ngô nấu sườn,nước ép nho,,
cá chẻm muối sả chiên,rong chân vịt trộn gà,canh bí xanh nấu tôm,bánh flan ca cao,,
bánh đa cua,trà chanh,,,,
cơm chiên bí đỏ,nước ép dưa hấu,,,,
phở nghêu sa tế,sữa đậu phộng,,,,
bánh cuốn nóng,cà phê sữa,,,,
tôm rim thịt,cải chua trộn mắm gừng,canh chua cá ba sa,chè bà ba,,
súp cua,ca cao sữa,,,,
thịt cua xào chua ngọt,giá xào tim heo,canh điêu hồng nấu ngót,sinh tố mít,,
canh tôm nõn nấu bí đao,tôm rang trứng muối,gỏi bắp bò cần tây,mít ướp lạnh,,
súp cua bắp non,bún bò giò heo,chè hoa cúc táo đỏ,,,
súp tương miso trứng nấm,sinh tố cà chua,,,,
bánh mì jambon,trà lipton nóng,,,,
cá kèo kho rau răm,bắp cải luộc,canh rau má nấu thịt bò,chuối cau,,
ốc dừa xào bơ,bông cải xào tôm,canh mướp nấu nấm,táo xanh,,
cá nục hấp hành,sò huyết rang me,canh cải xanh cuộn thịt,lê chưng mật ong,,
cá nục kho me,cá lóc cuộn nấm nướng sốt chanh,canh gà lá giang,dâu tươi giằm,,
bánh đa cua,nước cam,,,,
mì xào bò,sữa tươi,,,,
mắm thái trộn thịt ba chỉ,canh khoai mỡ nấu tôm khô,bông cải sauce tôm,bánh khoai mì,,
gỏi khô bò,canh cải chua hải sản,rau dền luộc,bánh su nhân trà xanh,,
cá bông lau kho,canh bầu tôm nõn,mướp xào nấm,chè bo bo nấu phổ tai,,
nộm gân bò trộn cần tây,"chả cá lã vọng,  ăn kèm bún, thì là, hành tước sợi",,,,
cá lóc kho tiêu,gỏi sứa,canh khoai mỡ nấu tôm,chè hạt sen táo tàu,,
cháo gà,sữa đậu nành,,,,
cá thác lác chiên xù,gan heo xốt tỏi,canh cua rau đay,nước ép cà chua,,
cá kèo kho rau răm,thanh cua xào chua ngọt,canh tôm nấu đậu phụ,rau câu dừa,,
cháo mực,nước ép mận,,,,
gân hầm xốt x.o,phèo non cải chua,canh chua cá lóc,sinh tố mãng cầu,,
phở gà,sinh tố mãng cầu,,,,
giá hẹ xào tim heo,canh hến nấu thì là,cà tím nướng mỡ hành,đu đủ ướp lạnh,,
bánh mì cá hộp,sữa đậu nành,,,,
cháo trắng cá cơm kho,nước sprite,,,,
cá thu chiên xốt tiêu,canh cá thu nấu ngót,bó xôi xào tỏi,chè xoài trân châu,,
bún gạo xào tôm,cocacola,,,,
thịt kho nghệ,canh bông cải nấu thịt băm,cải ngọt xào tỏi,dưa hấu ướp lạnh,,
bánh canh ghẹ,cà phê đá,,,,
cua rang me,bông hành xào tôm thẻ,canh cá thác lác nấu cải thìa,chè hạt sen,,
lẩu cá thu,dưa hấu ướp lạnh,,,,
ba rọi kho cà tím,cải xoong xào bò,canh khoai môn nấu sườn,thạch dừa,,
thịt heo nướng tiêu,salad nga,canh cá điêu hồng nấu ngót,bánh su jambon,,
vịt nướng xốt me,cật heo chấy tỏi,canh rau má nấu thịt,bánh flan,,
bún cá,nước chanh dây,,,,
chả cá thác lác chiên,canh khổ qua dồn thịt,đọt su su luộc,sinh tố xoài,,
ba rọi kho tiêu,mướp xào lòng gà,canh bí xanh nấu tôm nõn,chè đậu ngự,,
cá bống kho tiêu,rau lang luộc,canh cải xooang nấu bò,thanh long ướp lạnh,,
thịt heo quay,mì ý xào bò,bông cải luộc,nước ép táo,,
bánh canh cá,trà chanh nóng,,,,
thịt kho trứng,cải chua xào tôm,canh khoai môn nấu thịt,cóc chín ướp lạnh,,
cá trê kho me,đậu que xào ba rọi,canh cá diêu hồng nấu ngót,sinh tố sầu riêng,,
bánh canh cua,chè thập cẩm,,,,
giò heo rút xương chiên,phèo non xào cải chua,canh chua cá lóc,sinh tố mãng cầu,,
bún bò,sinh tố mít,,,,
xá xíu kho nước tương,cải rổ xào tỏi,canh giá hẹ,sâm bổ lượng,,
cháo hến,sữa đậu nành,,,,
bún giò heo,cà phê sữa,,,,
cá lóc kho gừng,gỏi sứa,canh khoai mỡ nấu tôm,chè hạt sen táo tàu,,
lòng gà rim nước dừa,rau muống xào,canh khổ qua tôm nõn,sinh tố bơ,,
tép xào khế chua,canh cá giấm mẻ,nộm hoa chuối trộn nghêu,chè khoai môn,,
gân bò kho,lẩu vịt quay thập cẩm,giá hẹ xào gan,lê ướp lạnh,,
trứng chiên thịt băm,canh măng nấu sườn,cải ngồng xào tỏi,bánh hạnh nhân,,
củ hũ dừa xào tôm,cà xào thịt bằm,canh khoai lang thịt bằm,nước bí đao,,
ếch chiên sả ớt,măng tây sốt hấp trứng,canh chua tôm hoa chuối,chè đậu xanh đánh,,
tép rang thịt ba chỉ,canh khoai môn nấu tôm khô,đậu rồng xào tỏi,đu đủ ướp lạnh,,
tôm càng sốt trứng muối,bò xào cần,canh rong biển,nước ép bưởi,,
sữa bắp,bún bò,,,,
bánh ướt chả lụa,sữa đậu nành,,,,
cá chép kho dưa,đầu cá chép nấu riêu thì là,rau ngổ luộc chấm nước cá kho,bánhphô mai sầu riêng,,
mì xào tôm,cà phê sữa đá,,,,
súp khoai tây,trà chanh,,,,
cá điêu hồng chiên xù,rau lang luộc,canh khoai mỡ nấu tôm,sơ ri ép,,
tôm rim thịt,rau càng cua trộn thịt bò,canh chua cá lóc,dưa hấu,,
sâm dứa sữa,đùi gà nướng mẻ,,,,
thịt bò nhúng giấm,bún bánh tráng rau sống,sinh tố cà chua,,,
lẩu mắm,sinh tố đu đủ,,,,
cá chẻm xốt chanh dây,canh điêu hồng nấu nghệ,rau muống luộc,bánh flan rau câu,,
thịt kho tàu,gỏi mít tôm thịt,canh chua cá đuối,lê ướp đá,,
thịt gà viên nướng mèđen,bí ngòi xào tỏi,canh rau muống nấu me,rau câu hạnh nhân,,
canh astiso nấu hải sản,cá sốt chanh dây,tôm xào hạnh nhân,chè đậu xanh,,
tép rang thịt ba chỉ,bò trộn càng cua,canh giò sống nấu ngót,bánh chuối hấp,,
sò dương xào rau muống,hàu nướng phô mai,canh cải cúc nấu thịt bò,chè trôi nước,,
canh mướp nấu nấm rơm,bò rim ngũ vị,dưa khổ qua đèo,chè bắp,,
bánh đa cua,trà chanh,,,,
miến gà,sữa đậu nành,,,,
canh cá thu nấu ngót,cá kho dưa hường,tôm nõn xào rau củ,nước ép chanh dây,,
gà hấp cải xanh,trứng đút hẹ,canh cải chua tôm,salad rau củ,,
hàu chiên trứng,su hào luộc,giò heo hầm rau củ,thanh long ướp lạnh,,
bánh mì thịt quay,sữa chua dâu tây,,,,
bánh hỏi thịt quay,nước mơ,,,,
cháo hến,nước ép bưởi,,,,
cua rang me,bông hành xào tôm thẻ,canh cá thác lác cải thìa,kiwi tươi,,
bắp bò kho nghệ,cải thìa xào nấm,"canh óc heo táo đỏ, củ sen",chè đậu xanh bột báng,,
cá điêu hồng kho thơm,canh chua cá thác lác,ngồng cải luộc,kem tươi trà xanh trái cây,,
cơm tấm bì chay,sữa đậu nành,,,,
cơm chiên hải sản,yoghurt đá,,,,
muối sả mắm ruốc kho,đậu bắp luộc,canh chua tôm cá lóc,tàu hũ đá,,
cháo đậu đỏ,nước cam vắt,,,,
xôi chiên gà rôti,sinh tố dừa,,,,
canh rau muống nấu hến,mực trứng kho tộ,hải sản xào rau củ,nước ép thơm,,
gà nấu lá giang,tôm xốt me,canh khoai mỡ,chè củ năng hạt lựu,,
cá bống kho tộ,đậu bắp xào nấm hương,cà tím dồn thịt,rau câu dừa,,
cá thu xốt xoài,bông cải xào tôm,khổ qua xào trứng,dưa gang giằm,,
cá chạch kho gừng,bông bí nhồi thịt,thác lác nấu riêu,chè đậu xanh viên nướcdừa,,
trứng chiên hẹ với thịt gà,gỏi sứa,canh hẹ,chè chuối,,
bún chả cá,chè mè đen,,,,
gỏi xoài tôm thịt,bò xốt ngũ vị,canh gà nha đam,nước ép táo,,
bánh mì cá ngừ,nước ép cà rốt,,,,
ốc nấu chuối xanh,salad táo,khổ qua nhồi thịt,sinh tố xoài,,
bò nướng lá lốt,súp nấm tuyết,tôm hấp hành,trái cây thập cẩm,,
tôm chiên củ sen,thịt kho củ cải,bò xào nấmbắp non  cà rốt,chè hạt sen,,
canh tôm nõn nấu bí đao,trám nhồi thịt,salad rau mầm,mít ướp lạnh,,
ốc nhồi thịt,canh tần ô thịt bò,gỏi hoa chuối bò khô,sinh tố sa-pô-chê,,
há cảo,nước sâm,,,,
thịt ba chỉ kho tàu,rau muống luộc,canh cua khoai môn,khoai lang luộc,,
lẩu cháo ( phúc kiến ),nước mía,,,,
"lẩu sụn cá hồi, ăn kèm bún, nấm, rau các loại",chè củ năng cơm dừa,,,,
mì xào bò,nước ép thơm,,,,
cháo cá lóc,nước ép ổi,,,,
bí đao xào thịt,ức gà xào nấm,canh củ sen hầm,nho tươi,,
đậu phụ tẩm hành,canh đậu,thịt rán,dưa muối,rau muống luộc,tôm đồng rim
cá trứng rim tiêu,canh cải nấu tôm,thịt viên nấm sốt cà chua,bánh mỳ cuộn tôm chiên,tôm rim,gà rang gừng
súp lơ xào,canh rau muống,cá rô phi tẩm bột chiên,thịt luộc,tôm băm rim,lạc rang muối
củ cải luộc,canh bí nấu nước dùng gà,lạc rang muối,giò me,thịt rán,ngô ngọt xào bơ
canh mùng tơi ngao,cuống họng luộc,cá thu rim dầu hào,khoai môn lệ phố,đậu phụ tẩm hành,
thịt luộc,canh trứng cà chua,đậu phụ trứng sốt cà,bắp cải xào,dưa muối,thịt đông
dưa muối,canh thiên lý nấu mọc,sườn nướng sốt bbq,giả cầy,cá rô phi chiên,súp lơ xào
giới thiệu mâm cơm hàng ngày cho gia đình,canh cá,súp lơ xào,cá chim chiên giòn,cà tím nhồi thịt nướng,
váng đậu cuộn thịt,canh bí xanh,cá chim chiên giòn,mực xào ớt chuông,cải ngồng luộc chấm mắm,
,canh chua cá,dưa muối,chả đậu phụ,tôm rim,rau lang xào
trứng cút sốt chua ngọt,canh sườn nấu chua,cá điêu hồng hấp xì dầu,"xu hào xào, ",bí đỏ xào tỏi,thịt viên nấm sốt cà chua
trứng chiên,cá thu chiên,thịt viên,mùng tơi luộc,dưa chuột cắt lát,
món cực ngon cho gia đình,lặc lè (lặc lầy) luộc,cá thu sốt cà chua,thịt nướng,đậu quả xào,
lạc rang muối,canh cải cúc thịt băm,thịt nướng sốt bbq,trứng cút luộc,rau muống xào tỏi,cá rô phi tẩm bột chiên
cải ngồng luộc chấm mắm,mực chiên mắm,bí đỏ xào tỏi,củ cải luộc,thịt đông,
giới thiệu mâm cơm hàng ngày cho gia đình,dưa chuột ngâm chua ngọt,cá chim sốt cà chua,nem lụi,miến xào cua,củ cải luộc
bì nấu đông,bò kho gừng sả,su hào xào trứng,bắp giò luộc,su hào ngâm chua ngọt,
canh bí nấu mọc,thịt nướng,cải mèo xào thịt bò,xu hào ngâm chua ngọt,,
rau cải xào,canh sườn nấu chua,cá quả kho tộ,sườn nướng,củ cải xào,váng đậu cuộn thịt
giá xào thịt bò,thịt rang cháy cạnh,giá xào lòng gà,rau cải luộc,tôm rim,giò me
thịt đông,canh rau ngót,cá lanh kho khô,dưa chuột trộn chua ngọt,đậu quả xào,sườn nướng
,canh đậu thịt viên,súp lơ xào cà rốt,lạc rang muối,cá thu sốt tỏi,thịt viên sốt nấm
canh su hào thịt bằm,bò xào cần tỏi,đậu quả xào tỏi,thịt xào hành,,
canh bí xanh nấu thịt,bò xào cần tỏi,cá kho thịt,dưa chuột cắt lát,"hoa quả (xoài, đu đủ...?)",
giò me,canh bắp cải,tôm băm rim,cà tím tẩm bột chiên giòn,ngọn su su xào,thịt luộc
thịt đông,canh ngao chua,cá bạc má kho,su hào xào trứng,gà chiên nước mắm,đậu nhồi thịt sốt cà chua
su su luộc chấm muối vừng,ruốc cá,thịt kho tàu,cá trứng rim tiêu,,
gà luộc,canh bí nấu nước dùng gà,cá thu rim mắm tỏi,rau cải xào,,
canh rau cải,chả đậu phụ,mực chiên mắm tỏi,nấm xào,thịt xào hành,
đậu nhồi thịt sốt cà chua,canh mướp thịt băm,cá rô phi tẩm bột chiên,móng giò luộc,bao tử cá basa xào,"thịt bò xào ớt chuông, cần tỏi"
